"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 04월 10일","141.04","141.00","141.43","140.63","9.04M","0.18%"
"2017년 04월 07일","140.78","141.20","141.55","140.24","11.82M","-0.28%"
"2017년 04월 06일","141.17","142.11","142.22","140.91","15.10M","-0.48%"
"2017년 04월 05일","141.85","142.26","143.44","141.29","17.16M","0.08%"
"2017년 04월 04일","141.73","141.86","142.09","141.27","12.95M","-0.39%"
"2017년 04월 03일","142.28","141.93","142.47","140.82","13.56M","0.16%"
"2017년 03월 31일","142.05","142.31","142.63","141.89","11.48M","-0.25%"
"2017년 03월 30일","142.41","142.40","142.95","141.85","12.40M","-0.17%"
"2017년 03월 29일","142.65","141.99","142.86","141.43","16.53M","0.63%"
"2017년 03월 28일","141.76","140.36","141.95","140.01","14.68M","1.03%"
"2017년 03월 27일","140.32","139.05","140.65","138.77","12.80M","-0.01%"
"2017년 03월 24일","140.34","140.08","141.02","139.76","16.66M","0.58%"
"2017년 03월 23일","139.53","139.48","140.39","139.09","13.02M","-0.04%"
"2017년 03월 22일","139.59","137.93","139.79","137.60","17.06M","0.78%"
"2017년 03월 21일","138.51","141.15","142.31","138.40","29.89M","-1.02%"
"2017년 03월 20일","139.94","139.71","140.19","139.25","12.10M","0.07%"
"2017년 03월 17일","139.84","140.34","140.34","139.70","20.59M","-0.11%"
"2017년 03월 16일","139.99","140.20","140.25","139.73","13.61M","0.19%"
"2017년 03월 15일","139.72","139.29","140.10","138.49","19.34M","0.29%"
"2017년 03월 14일","139.32","139.46","139.46","138.52","12.94M","-0.20%"
"2017년 03월 13일","139.60","138.71","139.68","138.67","10.96M","0.58%"
"2017년 03월 10일","138.79","138.91","139.49","138.22","16.31M","0.40%"
"2017년 03월 09일","138.24","137.72","138.57","137.40","15.54M","0.38%"
"2017년 03월 08일","137.72","137.15","137.99","137.05","10.18M","0.31%"
"2017년 03월 07일","137.30","137.03","138.37","136.99","13.53M","-0.09%"
"2017년 03월 06일","137.42","136.88","137.83","136.51","12.75M","0.18%"
"2017년 03월 03일","137.17","136.63","137.33","136.08","11.16M","0.30%"
"2017년 03월 02일","136.76","137.09","137.82","136.31","12.29M","-0.48%"
"2017년 03월 01일","137.42","136.47","137.48","136.30","16.26M","1.39%"
"2017년 02월 28일","135.54","136.79","136.81","134.75","16.11M","-0.64%"
"2017년 02월 27일","136.41","135.26","137.18","135.02","14.31M","0.72%"
"2017년 02월 24일","135.44","134.16","135.62","134.16","12.63M","0.06%"
"2017년 02월 23일","135.36","135.89","136.12","134.33","18.42M","-0.56%"
"2017년 02월 22일","136.12","133.60","136.79","133.46","27.36M","1.79%"
"2017년 02월 21일","133.72","133.50","133.91","132.90","14.76M","0.14%"
"2017년 02월 17일","133.53","133.50","134.09","133.17","12.28M","-0.23%"
"2017년 02월 16일","133.84","133.07","133.87","133.02","12.83M","0.30%"
"2017년 02월 15일","133.44","133.45","133.70","132.66","13.23M","-0.31%"
"2017년 02월 14일","133.85","134.10","134.23","132.55","14.36M","-0.15%"
"2017년 02월 13일","134.05","134.70","134.70","133.70","13.53M","-0.10%"
"2017년 02월 10일","134.19","134.10","134.94","133.68","15.06M","0.04%"
"2017년 02월 09일","134.14","134.49","134.50","133.31","16.47M","-0.04%"
"2017년 02월 08일","134.20","132.60","134.44","132.44","22.39M","1.79%"
"2017년 02월 07일","131.84","132.24","133.00","131.66","14.60M","-0.17%"
"2017년 02월 06일","132.06","130.98","132.06","130.30","17.06M","0.82%"
"2017년 02월 03일","130.98","131.24","132.85","130.76","24.80M","0.11%"
"2017년 02월 02일","130.84","133.22","135.49","130.40","54.37M","-1.79%"
"2017년 02월 01일","133.23","132.25","133.49","130.68","50.14M","2.23%"
"2017년 01월 31일","130.32","130.17","130.66","129.52","19.79M","-0.50%"
"2017년 01월 30일","130.98","131.58","131.58","129.60","18.96M","-0.91%"
"2017년 01월 27일","132.18","132.68","132.95","131.08","19.54M","-0.45%"
"2017년 01월 26일","132.78","131.63","133.14","131.44","20.02M","0.99%"
"2017년 01월 25일","131.48","130.00","131.74","129.77","18.78M","1.63%"
"2017년 01월 24일","129.37","129.38","129.90","128.38","15.16M","0.34%"
"2017년 01월 23일","128.93","127.31","129.25","126.95","16.59M","1.49%"
"2017년 01월 20일","127.04","128.10","128.48","126.78","19.10M","-0.40%"
"2017년 01월 19일","127.55","128.23","128.35","127.45","12.20M","-0.29%"
"2017년 01월 18일","127.92","128.41","128.43","126.84","13.15M","0.04%"
