"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 06월 30일","114.28","114.67","115.18","113.67","23.19M","0.11%"
"2016년 06월 29일","114.16","113.37","114.25","113.04","20.97M","1.30%"
"2016년 06월 28일","112.70","110.63","112.75","110.55","26.81M","3.42%"
"2016년 06월 27일","108.97","111.57","111.57","108.23","36.41M","-2.77%"
"2016년 06월 24일","112.08","111.01","113.68","111.00","40.64M","-2.61%"
"2016년 06월 23일","115.08","114.37","115.09","113.54","16.18M","1.03%"
"2016년 06월 22일","113.91","114.65","114.74","113.61","14.85M","-0.41%"
"2016년 06월 21일","114.38","114.12","115.21","113.97","19.17M","0.89%"
"2016년 06월 20일","113.37","113.77","114.72","112.75","20.79M","0.31%"
"2016년 06월 17일","113.02","114.42","114.43","112.56","24.64M","-1.20%"
"2016년 06월 16일","114.39","113.87","114.50","112.94","19.24M","-0.18%"
"2016년 06월 15일","114.60","115.30","115.44","114.07","19.82M","-0.30%"
"2016년 06월 14일","114.94","114.07","114.95","113.58","17.62M","0.87%"
"2016년 06월 13일","113.95","115.00","115.48","113.31","31.72M","-2.29%"
"2016년 06월 10일","116.62","117.54","118.11","116.26","18.51M","-1.64%"
"2016년 06월 09일","118.56","118.13","118.68","117.71","13.86M","0.14%"
"2016년 06월 08일","118.39","117.76","118.60","117.27","14.51M","0.53%"
"2016년 06월 07일","117.76","119.24","119.30","117.67","17.10M","-0.87%"
"2016년 06월 06일","118.79","118.62","119.43","118.36","12.74M","0.27%"
"2016년 06월 03일","118.47","118.97","118.98","117.86","14.14M","-0.39%"
"2016년 06월 02일","118.93","118.69","119.44","118.22","13.23M","0.13%"
"2016년 06월 01일","118.78","118.50","119.08","117.82","15.03M","-0.03%"
"2016년 05월 31일","118.81","119.46","120.10","118.12","23.55M","-0.48%"
"2016년 05월 27일","119.38","119.56","119.85","119.01","13.49M","-0.08%"
"2016년 05월 26일","119.47","118.24","119.76","117.92","18.48M","1.34%"
"2016년 05월 25일","117.89","118.13","118.67","117.38","20.04M","0.16%"
"2016년 05월 24일","117.70","116.24","117.73","116.12","20.18M","1.49%"
"2016년 05월 23일","115.97","117.42","117.60","115.94","20.44M","-1.18%"
"2016년 05월 20일","117.35","116.96","117.99","116.95","18.94M","0.46%"
"2016년 05월 19일","116.81","117.05","117.49","115.88","20.54M","-0.71%"
"2016년 05월 18일","117.65","116.80","118.27","116.73","21.64M","0.26%"
"2016년 05월 17일","117.35","118.82","119.01","117.20","21.33M","-1.11%"
"2016년 05월 16일","118.67","119.38","119.61","117.35","31.25M","-0.95%"
"2016년 05월 13일","119.81","120.38","120.64","119.68","18.12M","-0.39%"
"2016년 05월 12일","120.28","119.98","120.84","118.90","22.04M","0.64%"
"2016년 05월 11일","119.52","120.41","121.08","119.42","22.04M","-0.81%"
"2016년 05월 10일","120.50","119.62","120.50","114.80","23.22M","1.06%"
"2016년 05월 09일","119.24","119.54","120.28","118.90","21.14M","-0.21%"
"2016년 05월 06일","119.49","117.16","119.64","117.11","26.40M","1.43%"
"2016년 05월 05일","117.81","118.04","118.98","117.25","22.06M","-0.21%"
"2016년 05월 04일","118.06","116.61","118.30","116.57","23.45M","0.54%"
"2016년 05월 03일","117.43","117.52","118.16","117.02","24.12M","-0.96%"
"2016년 05월 02일","118.57","117.83","118.73","116.57","28.10M","0.84%"
"2016년 04월 29일","117.58","116.82","117.84","115.84","37.14M","0.73%"
"2016년 04월 28일","116.73","119.58","120.79","116.23","87.11M","7.20%"
"2016년 04월 27일","108.89","107.94","108.94","106.31","52.21M","0.12%"
"2016년 04월 26일","108.76","110.49","110.50","108.15","22.52M","-1.22%"
"2016년 04월 25일","110.10","109.87","110.67","109.07","21.02M","-0.42%"
"2016년 04월 22일","110.56","111.21","111.75","109.01","38.46M","-2.54%"
"2016년 04월 21일","113.44","112.55","114.04","112.31","20.88M","0.91%"
"2016년 04월 20일","112.42","112.43","113.27","111.56","21.03M","0.12%"
"2016년 04월 19일","112.29","111.10","112.45","109.16","30.21M","1.67%"
"2016년 04월 18일","110.45","109.74","110.81","109.20","21.17M","0.74%"
"2016년 04월 15일","109.64","110.79","110.97","109.20","20.92M","-1.08%"
"2016년 04월 14일","110.84","110.62","112.04","110.26","28.47M","0.30%"
"2016년 04월 13일","110.51","112.23","112.65","106.52","88.23M","-0.09%"
"2016년 04월 12일","110.61","109.34","111.16","108.99","26.25M","1.49%"
"2016년 04월 11일","108.99","110.70","110.91","108.77","39.76M","-1.48%"
"2016년 04월 08일","110.63","114.25","114.33","109.90","48.50M","-2.65%"
"2016년 04월 07일","113.64","113.79","114.89","113.07","20.71M","-0.06%"
"2016년 04월 06일","113.71","112.47","113.81","112.42","20.81M","1.33%"
"2016년 04월 05일","112.22","112.11","113.32","111.90","22.96M","-0.29%"
"2016년 04월 04일","112.55","114.07","114.55","111.61","48.49M","-3.02%"
"2016년 04월 01일","116.06","113.75","116.17","113.35","24.76M","1.72%"
"2016년 03월 31일","114.10","114.70","115.01","113.77","21.21M","-0.52%"
"2016년 03월 30일","114.70","116.73","116.99","114.36","33.24M","-1.24%"
"2016년 03월 29일","116.14","113.83","116.32","113.64","29.83M","2.15%"
"2016년 03월 28일","113.69","113.32","114.59","112.95","21.35M","0.57%"
"2016년 03월 24일","113.05","112.13","113.09","111.68","17.84M","0.45%"
"2016년 03월 23일","112.54","112.01","113.19","112.00","18.56M","0.26%"
"2016년 03월 22일","112.25","111.36","112.88","111.17","19.00M","0.36%"
"2016년 03월 21일","111.85","111.66","112.37","111.03","18.45M","0.36%"
"2016년 03월 18일","111.45","111.56","112.42","110.27","36.26M","0.39%"
"2016년 03월 17일","111.02","112.15","112.69","110.73","24.24M","-1.03%"
"2016년 03월 16일","112.18","110.49","112.50","110.10","24.74M","1.36%"
"2016년 03월 15일","110.67","109.11","110.83","108.84","17.62M","0.71%"
"2016년 03월 14일","109.89","109.28","110.33","108.77","17.25M","0.44%"
"2016년 03월 11일","109.41","108.48","109.42","107.92","20.70M","1.95%"
"2016년 03월 10일","107.32","107.91","108.66","105.77","24.85M","-0.18%"
"2016년 03월 09일","107.51","106.70","107.51","105.49","20.49M","1.49%"
"2016년 03월 08일","105.93","104.78","107.37","104.40","25.62M","0.19%"
"2016년 03월 07일","105.73","108.07","108.07","104.72","31.53M","-2.45%"
"2016년 03월 04일","108.39","110.05","110.05","107.93","24.94M","-1.09%"
"2016년 03월 03일","109.58","110.25","110.30","108.54","21.35M","-0.34%"
"2016년 03월 02일","109.95","109.68","110.55","108.77","25.67M","0.12%"
"2016년 03월 01일","109.82","107.83","109.82","107.60","26.82M","2.71%"
"2016년 02월 29일","106.92","107.60","108.91","106.75","32.78M","-0.93%"
"2016년 02월 26일","107.92","108.70","109.45","107.16","26.69M","-0.14%"
"2016년 02월 25일","108.07","107.11","108.07","105.61","29.91M","1.11%"
"2016년 02월 24일","106.88","104.21","106.95","102.74","34.41M","1.35%"
"2016년 02월 23일","105.46","106.85","107.47","105.12","25.32M","-1.59%"
"2016년 02월 22일","107.16","105.49","108.25","105.34","35.71M","2.48%"
"2016년 02월 19일","104.57","102.55","105.02","102.06","32.40M","1.06%"
"2016년 02월 18일","103.47","105.80","106.00","103.03","29.59M","-1.64%"
"2016년 02월 17일","105.20","101.94","105.72","100.40","44.07M","3.53%"
"2016년 02월 16일","101.61","103.80","103.93","100.24","45.69M","-0.39%"
"2016년 02월 12일","102.01","103.74","104.24","101.09","36.18M","0.10%"
"2016년 02월 11일","101.91","99.60","105.11","98.88","43.67M","0.90%"
"2016년 02월 10일","101.00","101.55","103.25","100.24","45.18M","1.47%"
"2016년 02월 09일","99.54","97.14","102.40","96.82","62.71M","-0.21%"
"2016년 02월 08일","99.75","100.41","102.68","97.46","71.23M","-4.15%"
"2016년 02월 05일","104.07","109.51","109.58","103.18","76.89M","-5.81%"
"2016년 02월 04일","110.49","111.80","111.94","109.25","38.89M","-1.95%"
"2016년 02월 03일","112.69","115.27","115.34","109.75","56.92M","-1.68%"
"2016년 02월 02일","114.61","114.80","117.59","113.20","59.78M","-0.42%"
"2016년 02월 01일","115.09","112.27","115.72","112.01","46.13M","2.57%"
"2016년 01월 29일","112.21","108.99","112.84","108.84","62.74M","2.84%"
"2016년 01월 28일","109.11","107.20","110.34","104.81","107.48M","15.52%"
